0:0:0:0:0:0:0:1 - - [17/Dec/2017:12:00:27 -0300] "GET /index.xhtml HTTP/1.1" 200 2515
0:0:0:0:0:0:0:1 - - [17/Dec/2017:12:00:39 -0300] "POST /index.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Dec/2017:12:00:39 -0300] "GET /images/background.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2017:12:00:39 -0300] "GET /images/post-default.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2017:12:00:39 -0300] "GET /imagepost/8dgxl3945t HTTP/1.1" 200 7075
0:0:0:0:0:0:0:1 - - [17/Dec/2017:12:00:39 -0300] "GET /imageuser/4x9lo57b8j HTTP/1.1" 200 7075
0:0:0:0:0:0:0:1 - - [17/Dec/2017:12:00:39 -0300] "GET /imageuser/fglwf3z8ic HTTP/1.1" 200 32748
0:0:0:0:0:0:0:1 - - [17/Dec/2017:12:00:39 -0300] "GET /imagepost/9ay076itpq HTTP/1.1" 200 11740
0:0:0:0:0:0:0:1 - - [17/Dec/2017:12:00:40 -0300] "GET /imagepost/5i21lsxb94 HTTP/1.1" 200 41378
0:0:0:0:0:0:0:1 - - [17/Dec/2017:12:00:40 -0300] "GET /images/profile-default.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2017:12:00:40 -0300] "GET /home.xhtml HTTP/1.1" 200 32694
0:0:0:0:0:0:0:1 - - [17/Dec/2017:12:03:01 -0300] "GET /home.xhtml HTTP/1.1" 200 32694
0:0:0:0:0:0:0:1 - - [17/Dec/2017:12:03:01 -0300] "GET /imageuser/fglwf3z8ic HTTP/1.1" 200 32748
0:0:0:0:0:0:0:1 - - [17/Dec/2017:12:03:01 -0300] "GET /imagepost/8dgxl3945t HTTP/1.1" 200 7075
0:0:0:0:0:0:0:1 - - [17/Dec/2017:12:03:01 -0300] "GET /imageuser/4x9lo57b8j HTTP/1.1" 200 7075
0:0:0:0:0:0:0:1 - - [17/Dec/2017:12:03:01 -0300] "GET /imagepost/9ay076itpq HTTP/1.1" 200 11740
0:0:0:0:0:0:0:1 - - [17/Dec/2017:12:03:01 -0300] "GET /imagepost/5i21lsxb94 HTTP/1.1" 200 41378
0:0:0:0:0:0:0:1 - - [17/Dec/2017:12:05:18 -0300] "GET /imageuser/fglwf3z8ic HTTP/1.1" 200 32748
0:0:0:0:0:0:0:1 - - [17/Dec/2017:12:05:18 -0300] "GET /imagepost/8dgxl3945t HTTP/1.1" 200 7075
0:0:0:0:0:0:0:1 - - [17/Dec/2017:12:05:18 -0300] "GET /home.xhtml HTTP/1.1" 200 32694
0:0:0:0:0:0:0:1 - - [17/Dec/2017:12:05:18 -0300] "GET /imageuser/4x9lo57b8j HTTP/1.1" 200 7075
0:0:0:0:0:0:0:1 - - [17/Dec/2017:12:05:18 -0300] "GET /imagepost/9ay076itpq HTTP/1.1" 200 11740
0:0:0:0:0:0:0:1 - - [17/Dec/2017:12:05:18 -0300] "GET /imagepost/5i21lsxb94 HTTP/1.1" 200 41378
0:0:0:0:0:0:0:1 - - [17/Dec/2017:12:07:33 -0300] "POST /home.xhtml HTTP/1.1" 200 1399
